Date,User,Tweet,clean_tweets
2022-09-03 15:15:49+00:00,FAIZ HISHAM,@Murakariuki @Hs_Aboud @AbsaKenya Try n let me know plz,Try n let know plz
2022-09-03 15:15:42+00:00,MUTONGOI,@Murakariuki @AbsaKenya Come to @KCBGroup,Come
2022-09-03 15:15:32+00:00,Kitui East Superstar,"@Murakariuki @AbsaKenya @Joel_prophet ...590 Ksh is too much....we youth av little income ,.....@AbsaKenya are u su… https://t.co/gQ3t9X6NKq","...590 Ksh much....we youth av little income ,..... u su…"
2022-09-03 15:15:31+00:00,Khalifa Abdi 🇰🇪,"Hello @AbsaKenya , I made a deposit to someone's account this afternoon via ATM but I seem to have misplaced the re… https://t.co/hefEK06ZWH","Hello , I made deposit someone's account afternoon via ATM I seem misplaced re…"
2022-09-03 15:15:16+00:00,Mura,@hulkmania618 @AbsaKenya I'm in 3 other banks and they don't charge a dime.,I'm 3 banks charge dime.
2022-09-03 15:14:51+00:00,Mura,"@Kenyan_Critic @AbsaKenya Ya kutuma na email. Pdf . Uncertified. Just download and send. 

I have asked for clarification multiple times.",Ya kutuma na email. Pdf . Uncertified. Just download send. I asked clarification multiple times.
2022-09-03 15:11:49+00:00,Mura,@Hs_Aboud @Faiz_hisham2 @AbsaKenya For a business account?,For business account?
2022-09-03 15:10:25+00:00,Injection Only,@moffatmuraya @Murakariuki @AbsaKenya Then you should have talked to your banker alias at ABSA. I believe your conc… https://t.co/UKkZHYjHz7,Then talked banker alias ABSA. I believe conc…
2022-09-03 15:09:47+00:00,KoT 🇰🇪,@Murakariuki @AbsaKenya 😂 😂 😂,😂 😂 😂
2022-09-03 15:08:26+00:00,Leonard Mutai,@Murakariuki @AbsaKenya Eeeeiiiissssh!!!,Eeeeiiiissssh!!!
2022-09-03 15:06:27+00:00,Optimus Fine,"@Smith_Hempstone @AbsaKenya As I highlighted before, the bank gives you the option of the statement frequency when… https://t.co/F0YIv8vCFq","As I highlighted before, bank gives option statement frequency when…"
2022-09-03 15:05:36+00:00,ClyQ,@Murakariuki @AbsaKenya @KeEquityBank per page,per page
2022-09-03 15:05:16+00:00,ClyQ,@Murakariuki @AbsaKenya @KeEquityBank waliiniitisha 200 sikulipa,waliiniitisha 200 sikulipa
2022-09-03 15:05:05+00:00,Abu-Junayd| أبو جنيد ❁,"@Faiz_hisham2 @Murakariuki @AbsaKenya Huyo jamaa atafta kiki tu, from the app you can generate the statement kesha you download...","Huyo jamaa atafta kiki tu, app generate statement kesha download..."
2022-09-03 15:02:21+00:00,Nekishon,@Kenyan_Critic @Murakariuki @AbsaKenya Is the stamp by the bank?,Is stamp bank?
2022-09-03 15:02:05+00:00,theSpecialOne,"@beingmissdaisy You want to make money through charging my wanting to know how much of my money you holding? 
It is… https://t.co/M1JafTUhUt",You want make money charging wanting know much money holding? It is…
2022-09-03 15:01:08+00:00,Matheka Nelson,@AbsaKenya @Murakariuki *so,*so
2022-09-03 15:00:52+00:00,Matheka Nelson,@AbsaKenya @Murakariuki What's do difficult in addressing the concern here?,What's difficult addressing concern here?
2022-09-03 15:00:39+00:00,FAIZ HISHAM,@Murakariuki @AbsaKenya Are the statements there on internet banking? Or we cant download from there?,Are statements internet banking? Or cant download there?
2022-09-03 14:55:44+00:00,Kevlan,@Murakariuki @AbsaKenya @AbsaKenya are thugs.. They have been sending me statements for an account that was meant t… https://t.co/ld8XS1YSaj,thugs.. They sending statements account meant t…
2022-09-03 14:55:44+00:00,Edwin Robert,@Murakariuki @AbsaKenya @Murakariuki we welcome you to @FamilyBankKenya,welcome
2022-09-03 14:53:53+00:00,David Owagah,"@AbsaKenya @Murakariuki Can you set the record straight?
Or we mop the streets on your behalf",Can set record straight? Or mop streets behalf
2022-09-03 14:52:16+00:00,Hameid Roshak,@Murakariuki @AbsaKenya Same with Gulf African Bank and you can't access your online statements via GabNet after on… https://t.co/OcIke9EVc8,Same Gulf African Bank can't access online statements via GabNet on…
2022-09-03 14:51:24+00:00,MOFFAT,@SindanoTu @Murakariuki @AbsaKenya You’re right. It’s not like debit and statement fees don’t occur where I’m curre… https://t.co/SWlTsaAXuM,You’re right. It’s like debit statement fees don’t occur I’m curre…
2022-09-03 14:48:27+00:00,Gerald Mwai 🇰🇪,@Murakariuki @Shani_Electrics @AbsaKenya 😂😂😂😂....100 pages ...You go to the bank and negotiate simple...they agree… https://t.co/I8FIQj77Ur,😂😂😂😂....100 pages ...You go bank negotiate simple...they agree…
2022-09-03 14:46:50+00:00,Jamal Nungoh.,@Murakariuki @AbsaKenya @KCBGroup can I also get my statement on email for free?,I also get statement email free?
2022-09-03 14:46:25+00:00,Kenyan_Critic,@Murakariuki @AbsaKenya You don't get it ....an official and stamped statement costs a minimum of kshs230 in all Ke… https://t.co/E5R4BKIxqr,You get ....an official stamped statement costs minimum kshs230 Ke…
2022-09-03 14:46:10+00:00,hulk,@Murakariuki @AbsaKenya No bank gives it for free. You pay something per page between 10/= - 100/=,No bank gives free. You pay something per page 10/= - 100/=
2022-09-03 14:37:42+00:00,Mwangi Mboke,@Murakariuki @AbsaKenya I bank with them and i get mine free of charge every month,I bank get mine free charge every month
2022-09-03 14:34:51+00:00,Kikuyu Council of Rich Elders,@Murakariuki @BarbieNbi @AbsaKenya Tag @KCBGroup in this exploitation too,Tag exploitation
2022-09-03 14:33:11+00:00,A Kareem,@Murakariuki @AbsaKenya You can request it to be sent to your email for free,You request sent email free
2022-09-03 14:31:00+00:00,Earth Observer,"@Murakariuki @AbsaKenya If it's a certified copy, other banks charge a fee too.","If certified copy, banks charge fee too."
2022-09-03 14:29:07+00:00,Injection Only,@moffatmuraya @Murakariuki @AbsaKenya But they support you best than any other banks out there. Its time we ran fast from FREEBIES.,But support best banks there. Its time ran fast FREEBIES.
2022-09-03 14:28:02+00:00,Plang'at,@WahomeMorgan @Murakariuki @AbsaKenya But they do send monthly statements via mail for free. Which you can then pri… https://t.co/Bt6gemyUmH,But send monthly statements via mail free. Which pri…
2022-09-03 14:27:57+00:00,Julius,@Murakariuki @Dee___Dian @AbsaKenya Am actually leaving @Coopbankenya they even charge you for buying airtime surely,Am actually leaving even charge buying airtime surely
2022-09-03 14:26:54+00:00,Mtefefo,"@Murakariuki @AbsaKenya Pia 25 bob to email you your monthly statement, 

“via email!”","Pia 25 bob email monthly statement, “via email!”"
2022-09-03 14:22:05+00:00,Anne Mbugua,@AbsaKenya this is how you lose clients https://t.co/hLeJ4tMWQa,lose clients
2022-09-03 14:21:37+00:00,Siangigi,@Murakariuki @AbsaKenya Sorry? The e-bank statement is 590 bob?,Sorry? The e-bank statement 590 bob?
2022-09-03 14:20:25+00:00,Don Kefa,@AbsaKenya bado mnadhani nyinyi ni wale elite Barclays bank ya kitambo? Acheni hizo https://t.co/hVfKIPwLpA,bado mnadhani nyinyi ni wale elite Barclays bank ya kitambo? Acheni hizo
2022-09-03 14:20:23+00:00,Jared,"@Murakariuki @AbsaKenya Leave @AbsaKenya  alone, join other banks. Absa, formerly Barclays  targeted corporates for… https://t.co/CxwIKHpfLI","Leave alone, join banks. Absa, formerly Barclays targeted corporates for…"
2022-09-03 14:17:58+00:00,Sir Philip Ogechi,@AbsaKenya @Murakariuki Why hide,Why hide
2022-09-03 14:10:03+00:00,cecilgayi,"@AbsaKenya is a useless bank, glad I shifted, https://t.co/qVgJxtrUIm","useless bank, glad I shifted,"
2022-09-03 14:09:19+00:00,Turbology,"@Murakariuki @AbsaKenya 😂shit, they even charge me sms that they send me","😂shit, even charge sms send"
2022-09-03 14:02:17+00:00,Vincent Awange,@Murakariuki @AbsaKenya Welcome to @KeEquityBank and @ncbacare,Welcome
2022-09-03 13:59:15+00:00,kim,@Murakariuki @AbsaKenya @Coopbankenya @StanbicKE Yes other banks don't charge and they send monthly or if you go to… https://t.co/UZzgHiY1ip,Yes banks charge send monthly go to…
