Date,User,Tweet,clean_tweets
2022-09-03 13:55:58+00:00,Blaise,.@Safaricom_Care you mean I've finished 1GB in less than 20 minutes? Is that really necessary? https://t.co/MQFbpoBPY1,. mean I've finished 1GB less 20 minutes? Is really necessary?
2022-09-03 13:55:04+00:00,MEDIA CONSULTANT/Analyst/PR LTD,@Safaricom_Care Thanks Done. Is there a way u can stop such before they happen to your customers?,Thanks Done. Is way u stop happen customers?
2022-09-03 13:47:28+00:00,MeadMen,@Safaricom_Care nishughulikieni bana,nishughulikieni bana
2022-09-03 13:47:17+00:00,Chadwick Kendrick,"@Safaricom_Care 
QI105VVH0G Confirmed. Ksh2,900.00 sent to Safaricom Home for account 11179195 on 1/9/22 at 12:50 A… https://t.co/9pLKJCEoaw","QI105VVH0G Confirmed. Ksh2,900.00 sent Safaricom Home account 11179195 1/9/22 12:50 A…"
2022-09-03 13:44:24+00:00,dejene,@PMEthiopia The West's support of tplf/arm twisting is not for nothin.They are getting what they want. First was op… https://t.co/d3ypZBQA1W,The West's support tplf/arm twisting nothin.They getting want. First op…
2022-09-03 13:40:32+00:00,MeadMen,@Safaricom_Care Done,Done
2022-09-03 13:33:26+00:00,Safaricom Care,@men_mead Checking. ^AA,Checking. ^AA
2022-09-03 13:31:53+00:00,MeadMen,@Safaricom_Care check DM please,check DM please
2022-09-03 13:23:23+00:00,kilometer,Raila is about to tell us to stop using safaricom networks because Ruto won😆,Raila tell us stop using safaricom networks Ruto won😆
2022-09-03 13:20:36+00:00,Hamy_Cee🕗,@Safaricom_Care Your USSD codes do not prevent this services from accessing our contacts. Work on something that wi… https://t.co/VHaMAeEVb5,Your USSD codes prevent services accessing contacts. Work something wi…
2022-09-03 13:16:54+00:00,Shakalaka🇰🇪,@Safaricom_Care check DM,check DM
2022-09-03 13:16:36+00:00,Safaricom Care,"@mutu_rahaa Hello Hammy, we have a strict privacy policy and do not share any personal data. As for the sms, as we… https://t.co/SeKkZXC2y2","Hello Hammy, strict privacy policy share personal data. As sms, we…"
2022-09-03 13:14:14+00:00,Hamy_Cee🕗,"@Safaricom_Care, @SafaricomPLC know you guys sell our data, but please don't subscribe us to bulk SMS. it's annoyin… https://t.co/56rnosarCO",", know guys sell data, please subscribe us bulk SMS. annoyin…"
2022-09-03 13:11:24+00:00,stubborn chumbe,@SafaricomPLC Safaricom ni wezi,Safaricom ni wezi
2022-09-03 13:11:07+00:00,stubborn chumbe,@SafaricomPLC Safaricom ni wezi,Safaricom ni wezi
2022-09-03 13:09:20+00:00,babyzhee,somethings we see as normal are actually not how does safaricom charge 10% interest on airtime as soon as u buy som… https://t.co/TpptUnF1LI,somethings see normal actually safaricom charge 10% interest airtime soon u buy som…
2022-09-03 13:08:47+00:00,stubborn chumbe,@sleekchadd @Safaricom_Care @SafaricomPLC @SafaricomPLC  ni wezi they are thieves,ni wezi thieves
2022-09-03 13:08:27+00:00,Moses Kibira,@_SafaricomCaare Someone called and said they are calling from Safaricom from 020 3570004 so I declined to talk to… https://t.co/HRYvvHdmL8,Someone called said calling Safaricom 020 3570004 I declined talk to…
2022-09-03 13:06:30+00:00,Safaricom Care,"@OliveWahu Hey,  our sincere apologies Olive.^DE","Hey, sincere apologies Olive.^DE"
2022-09-03 13:05:19+00:00,MJINI Furnitures,@betikaKe oya hii pesa ifiki kwa account mbona mpesa id.QI32BAMVA8 and when I send ingine ina reflect safaricom hav… https://t.co/oHFg8QZXeO,oya hii pesa ifiki kwa account mbona mpesa id.QI32BAMVA8 I send ingine ina reflect safaricom hav…
2022-09-03 13:02:12+00:00,🚺🇰🇪♏️🇸🇴,@Safaricom_Care Mko na UPUZI! Why make me call just for you to say you’ve discontinued the service!? Kwani you don’… https://t.co/J7TCjkYSF3,Mko na UPUZI! Why make call say you’ve discontinued service!? Kwani don’…
2022-09-03 13:00:09+00:00,Moses Kibira,@Safaricom_Car3_ 0729934454,729934454
2022-09-03 12:59:10+00:00,Juice🍁,@osoroKE @Safaricom_Care @frankghallager7,
